image_path,neck_angle,shoulder_angle_deg,hip_angle_deg
download.jpg,124.17109000587119,176.51062833508058,148.49514801235344
hunchback.jpg,-105.28194327355511,-56.03464351295066,-136.44489372601808
hunchback_flip.jpg,110.13656005475245,120.34129935066431,125.58017343463145
hunchback_hf_flip.jpg,103.09286660171348,4.868123496844373,94.57115849151805
img.jpg,137.73857000769692,7.83785158510304,-1.439643597107697
jav.jpg,-113.57981797387357,-148.325034959228,-121.99657964092663
kneeling_flip.jpg,128.23763017094026,137.24747957613823,47.71701728822565
recline.jpg,-146.76805131442856,-127.95460361363486,-110.35174139428925
recline_hf.jpg,-151.11558094012912,-156.4699676624591,-143.33495136692787
slouch.jpg,123.8127452677023,27.973591831383587,18.367408203424194
straight_flip.jpg,130.2445040199107,162.54212072959913,140.05385320794394
straight_hf_flip.jpg,129.04212317741266,136.8301668009167,129.99314997794016
